T+00:00:07.875 | INFO | Test mode initialized with 60 images
T+00:00:08.705 | INFO | Camera initialization: SUCCESS
T+00:00:08.825 | INFO | Access Point iniciado
T+00:00:08.851 | INFO | HTTP server started on port 80
T+00:00:45.790 | INFO | Testing image: /test/john_IMG_1583.jpg (1/60)
T+00:00:46.726 | INFO | Connected! Sending HTTP request...
T+00:00:47.344 | INFO | All data sent (149771 bytes), waiting for response...

T+00:00:58.690 | INFO | {"status":"success","timestamp":"T+00:00:34.118","detected":true,"prediction":"green","confidence":1.000,"image_size":149771,"inference_time_ms":8931}
T+00:00:58.710 | INFO | Test image sent: /test/john_IMG_1583.jpg
T+00:00:59.237 | INFO | Reproduciendo audio: /audio/go.wav
T+00:00:59.326 | INFO | Testing image: /test/sam_IMG_1490.jpg (2/60)
T+00:01:00.140 | INFO | Connected! Sending HTTP request...
T+00:01:00.540 | INFO | All data sent (106100 bytes), waiting for response...

T+00:01:11.968 | INFO | {"status":"success","timestamp":"T+00:00:47.386","detected":true,"prediction":"countdown_blank","confidence":0.832,"image_size":106100,"inference_time_ms":8784}
T+00:01:11.987 | INFO | Test image sent: /test/sam_IMG_1490.jpg
T+00:01:12.524 | INFO | Testing image: /test/john_IMG_1887.jpg (3/60)
T+00:01:13.451 | INFO | Connected! Sending HTTP request...
T+00:01:13.937 | INFO | All data sent (134814 bytes), waiting for response...

T+00:01:25.275 | INFO | {"status":"success","timestamp":"T+00:01:00.684","detected":true,"prediction":"none","confidence":1.000,"image_size":134814,"inference_time_ms":8778}
T+00:01:25.294 | INFO | Test image sent: /test/john_IMG_1887.jpg
T+00:01:25.821 | INFO | Reproduciendo audio: /audio/unknown.wav
T+00:01:25.862 | INFO | Testing image: /test/heon_IMG_1327.JPG (4/60)
T+00:01:26.762 | INFO | Connected! Sending HTTP request...
T+00:01:27.243 | INFO | All data sent (135561 bytes), waiting for response...

T+00:01:38.842 | INFO | {"status":"success","timestamp":"T+00:01:14.233","detected":true,"prediction":"countdown_blank","confidence":1.000,"image_size":135561,"inference_time_ms":9014}
