T+00:00:25.927 | CAMERA | Image captured: 1024x768, 15995 bytes
T+00:00:27.566 | CAMERA | Image captured: 1024x768, 32478 bytes
T+00:00:28.634 | CAMERA | Image captured: 1024x768, 34219 bytes
T+00:00:29.707 | CAMERA | Image captured: 1024x768, 36769 bytes
T+00:00:30.789 | CAMERA | Image captured: 1024x768, 31693 bytes
T+00:00:31.866 | CAMERA | Image captured: 1024x768, 30765 bytes
T+00:00:32.934 | CAMERA | Image captured: 1024x768, 34308 bytes
T+00:00:34.006 | CAMERA | Image captured: 1024x768, 35179 bytes
T+00:00:36.581 | CAMERA | Image captured: 1024x768, 35513 bytes
T+00:00:40.161 | CAMERA | Image captured: 1024x768, 36164 bytes
T+00:05:24.789 | CAMERA | Image captured: 1024x768, 32387 bytes
T+00:05:25.865 | CAMERA | Image captured: 1024x768, 31481 bytes
T+00:05:26.936 | CAMERA | Image captured: 1024x768, 107489 bytes
T+00:05:28.118 | CAMERA | Image captured: 1024x768, 110910 bytes
T+00:05:28.853 | CAMERA | Image captured: 1024x768, 116578 bytes
T+00:05:30.005 | CAMERA | Image captured: 1024x768, 120522 bytes
T+00:05:31.193 | CAMERA | Image captured: 1024x768, 120429 bytes
T+00:05:32.918 | CAMERA | Image captured: 1024x768, 121444 bytes
T+00:05:34.086 | CAMERA | Image captured: 1024x768, 120946 bytes
T+00:05:35.297 | CAMERA | Image captured: 1024x768, 119860 bytes
T+00:05:36.457 | CAMERA | Image captured: 1024x768, 121493 bytes
T+00:05:37.648 | CAMERA | Image captured: 1024x768, 123281 bytes
T+00:05:41.305 | CAMERA | Image captured: 1024x768, 123859 bytes
T+00:05:42.558 | CAMERA | Image captured: 1024x768, 122855 bytes
T+00:05:47.233 | CAMERA | Image captured: 1024x768, 121050 bytes
T+00:05:48.389 | CAMERA | Image captured: 1024x768, 121357 bytes
T+00:05:49.548 | CAMERA | Image captured: 1024x768, 117138 bytes
T+00:06:00.707 | CAMERA | Image captured: 1024x768, 114216 bytes
T+00:06:02.371 | CAMERA | Image captured: 1024x768, 112244 bytes
T+00:06:04.068 | CAMERA | Image captured: 1024x768, 85643 bytes
T+00:06:05.242 | CAMERA | Image captured: 1024x768, 82750 bytes
T+00:06:06.379 | CAMERA | Image captured: 1024x768, 91904 bytes
T+00:06:07.521 | CAMERA | Image captured: 1024x768, 125106 bytes
T+00:06:08.692 | CAMERA | Image captured: 1024x768, 126743 bytes
T+00:06:09.880 | CAMERA | Image captured: 1024x768, 131937 bytes
T+00:06:12.642 | CAMERA | Image captured: 1024x768, 125945 bytes
T+00:00:18.587 | CAMERA | Image captured: 640x480, 20522 bytes
