id_prueba,timestamp,modo,tipo_evento,escenario,distancia_m,iluminacion,objeto_verdad,objeto_predicho,confianza,t_total_ms,latencia,acierto,notas,interaccion,audio_path,latencia_ms,t_total_ms_numeric,distancia_verdad_cm,distancia_estimada_cm,diferencia_distancia_pct,clasificacion_distancia,texto_verdad,texto_predicho
1,2025-01-01T00:00:18.587000,ESP,ESP32,"2B, 3.5, 3.6",,,,,,,,,"Image captured: 640x480, 20522 bytes",,,,,,,,,,
2,2025-01-01T00:00:20.111000,ESP,ESP32,"2B, 3.5, 3.6",,,,,,00:01.5,,,"Image captured: 640x480, 21437 bytes",,,,1.5,,,,,,
3,2025-01-01T00:00:22.131000,ESP,ESP32,2A,,,,,,00:02.0,,,"Image captured: 640x480, 12731 bytes",,,,2,,,,,,
4,2025-01-01T00:00:23.761000,ESP,ESP32,2A,,,,,,00:01.6,,,"Image captured: 640x480, 13465 bytes",,,,1.6,,,,,,
5,2025-01-01T00:00:25.927000,ESP,ESP32,"2B, 3.5, 3.6",,,,,,00:02.2,,,"Image captured: 1024x768, 15995 bytes",,,,2.2,,,,,,
6,2025-01-01T00:00:27.566000,ESP,ESP32,"2B, 3.5, 3.6",,,,,,00:01.6,,,"Image captured: 1024x768, 32478 bytes",,,,1.6,,,,,,
7,2025-01-01T00:00:28.634000,ESP,ESP32,"2B, 3.5, 3.6",,,,,,00:01.1,,,"Image captured: 1024x768, 34219 bytes",,,,1.1,,,,,,
8,2025-01-01T00:00:28.831000,ESP,ESP32,"2B, 3.5, 3.6",,,,,,00:00.2,,,"Image captured: 1024x768, 16286 bytes",,,,0.2,,,,,,
9,2025-01-01T00:00:29.707000,ESP,ESP32,"2B, 3.5, 3.6",,,,,,00:00.9,,,"Image captured: 1024x768, 36769 bytes",,,,0.9,,,,,,
10,2025-01-01T00:00:30.435000,ESP,ESP32,"2B, 3.5, 3.6",,,,,,00:00.7,,,"Image captured: 1024x768, 30538 bytes",,,,0.7,,,,,,
11,2025-01-01T00:00:30.789000,ESP,ESP32,"2B, 3.5, 3.6",,,,,,00:00.4,,,"Image captured: 1024x768, 31693 bytes",,,,0.4,,,,,,
12,2025-01-01T00:00:31.586000,ESP,ESP32,"2B, 3.5, 3.6",,,,,,00:00.8,,,"Image captured: 1024x768, 46868 bytes",,,,0.8,,,,,,
13,2025-01-01T00:00:31.866000,ESP,ESP32,"2B, 3.5, 3.6",,,,,,00:00.3,,,"Image captured: 1024x768, 30765 bytes",,,,0.3,,,,,,
14,2025-01-01T00:00:32.678000,ESP,ESP32,"2B, 3.5, 3.6",,,,,,00:00.8,,,"Image captured: 1024x768, 44824 bytes",,,,0.8,,,,,,
15,2025-01-01T00:00:32.934000,ESP,ESP32,"2B, 3.5, 3.6",,,,,,00:00.3,,,"Image captured: 1024x768, 34308 bytes",,,,0.3,,,,,,
16,2025-01-01T00:00:33.006000,ESP,ESP32,2A,,,,,,00:00.1,,,"Image captured: 1024x768, 16039 bytes",,,,0.1,,,,,,
17,2025-01-01T00:00:33.759000,ESP,ESP32,"2B, 3.5, 3.6",,,,,,00:00.8,,,"Image captured: 1024x768, 42363 bytes",,,,0.8,,,,,,
18,2025-01-01T00:00:34.006000,ESP,ESP32,"2B, 3.5, 3.6",,,,,,00:00.2,,,"Image captured: 1024x768, 35179 bytes",,,,0.2,,,,,,
19,2025-01-01T00:00:34.559000,ESP,ESP32,2A,,,,,,00:00.6,,,"Image captured: 1024x768, 16222 bytes",,,,0.6,,,,,,
20,2025-01-01T00:00:35.625000,ESP,ESP32,2A,,,,,,00:01.1,,,"Image captured: 1024x768, 21853 bytes",,,,1.1,,,,,,
21,2025-01-01T00:00:35.862000,ESP,ESP32,"2B, 3.5, 3.6",,,,,,00:00.2,,,"Image captured: 1024x768, 47450 bytes",,,,0.2,,,,,,
22,2025-01-01T00:00:36.581000,ESP,ESP32,"2B, 3.5, 3.6",,,,,,00:00.7,,,"Image captured: 1024x768, 35513 bytes",,,,0.7,,,,,,
23,2025-01-01T00:00:36.687000,ESP,ESP32,2A,,,,,,00:00.1,,,"Image captured: 1024x768, 21992 bytes",,,,0.1,,,,,,
24,2025-01-01T00:00:36.975000,ESP,ESP32,"2B, 3.5, 3.6",,,,,,00:00.3,,,"Image captured: 1024x768, 45706 bytes",,,,0.3,,,,,,
25,2025-01-01T00:00:37.745000,ESP,ESP32,2A,,,,,,00:00.8,,,"Image captured: 1024x768, 23245 bytes",,,,0.8,,,,,,
26,2025-01-01T00:00:38.749000,ESP,ESP32,2A,,,,,,00:01.0,,,"Image captured: 1024x768, 16131 bytes",,,,1,,,,,,
27,2025-01-01T00:00:38.801000,ESP,ESP32,2A,,,,,,00:00.1,,,"Image captured: 1024x768, 20860 bytes",,,,0.1,,,,,,
28,2025-01-01T00:00:40.090000,ESP,ESP32,"2B, 3.5, 3.6",,,,,,00:01.3,,,"Image captured: 1024x768, 46097 bytes",,,,1.3,,,,,,
29,2025-01-01T00:00:40.161000,ESP,ESP32,"2B, 3.5, 3.6",,,,,,00:00.1,,,"Image captured: 1024x768, 36164 bytes",,,,0.1,,,,,,
30,2025-01-01T00:00:40.294000,ESP,ESP32,2A,,,,,,00:00.1,,,"Image captured: 1024x768, 16421 bytes",,,,0.1,,,,,,
31,2025-01-01T00:00:40.868000,ESP,ESP32,2A,,,,,,00:00.6,,,"Image captured: 1024x768, 21277 bytes",,,,0.6,,,,,,
