"id_prueba","timestamp","modo","tipo_evento","escenario","distancia_m","iluminacion","objeto_verdad","objeto_predicho","confianza","t_total_ms","latencia","acierto","notas"
"1","2025-01-01T00:00:07.875000","ESP","ESP32","2, 4.1, 4.2","","","","","","","","","Test mode initialized with 60 images"
"2","2025-01-01T00:00:08.705000","ESP","ESP32","2, 4.1, 4.2","","","","","","00:00:00.830","","","Camera initialization: SUCCESS"
"3","2025-01-01T00:00:08.825000","ESP","ESP32","2, 4.1, 4.2","","","","","","00:00:00.120","","","Access Point iniciado"
"4","2025-01-01T00:00:08.851000","ESP","ESP32","2, 4.1, 4.2","","","","","","00:00:00.026","","","HTTP server started on port 80"
"5","2025-01-01T00:00:45.790000","ESP","ESP32","2, 4.1, 4.2","","","","","","00:00:36.939","","","Testing image: /test/john_IMG_1583.jpg (1/60)"
"6","2025-01-01T00:00:46.726000","ESP","ESP32","2, 4.1, 4.2","","","","","","00:00:00.936","","","Connected! Sending HTTP request..."
"7","2025-01-01T00:00:47.344000","ESP","ESP32","2, 4.1, 4.2","","","","","","00:00:00.618","","","All data sent (149771 bytes), waiting for response..."
"8","2025-01-01T00:00:58.690000","ESP","ESP32","2, 4.1, 4.2","","","","","","00:00:11.346","","","{""status"":""success"",""timestamp"":""T+00:00:34.118"",""detected"":true,""prediction"":""green"",""confidence"":1.000,""image_size"":149771,""inference_time_ms"":8931}"
"9","2025-01-01T00:00:58.710000","ESP","ESP32","2, 4.1, 4.2","","","","","","00:00:00.020","","","Test image sent: /test/john_IMG_1583.jpg"
"10","2025-01-01T00:00:59.237000","ESP","ESP32","2, 4.1, 4.2","","","","","","00:00:00.527","","","Reproduciendo audio: /audio/go.wav"
"11","2025-01-01T00:00:59.326000","ESP","ESP32","2, 4.1, 4.2","","","","","","00:00:00.089","","","Testing image: /test/sam_IMG_1490.jpg (2/60)"
"12","2025-01-01T00:01:00.140000","ESP","ESP32","2, 4.1, 4.2","","","","","","00:00:00.814","","","Connected! Sending HTTP request..."
"13","2025-01-01T00:01:00.540000","ESP","ESP32","2, 4.1, 4.2","","","","","","00:00:00.400","","","All data sent (106100 bytes), waiting for response..."
"14","2025-01-01T00:01:11.968000","ESP","ESP32","2, 4.1, 4.2","","","","","","00:00:11.428","","","{""status"":""success"",""timestamp"":""T+00:00:47.386"",""detected"":true,""prediction"":""countdown_blank"",""confidence"":0.832,""image_size"":106100,""inference_time_ms"":8784}"
"15","2025-01-01T00:01:11.987000","ESP","ESP32","2, 4.1, 4.2","","","","","","00:00:00.019","","","Test image sent: /test/sam_IMG_1490.jpg"
"16","2025-01-01T00:01:12.524000","ESP","ESP32","2, 4.1, 4.2","","","","","","00:00:00.537","","","Testing image: /test/john_IMG_1887.jpg (3/60)"
"17","2025-01-01T00:01:13.451000","ESP","ESP32","2, 4.1, 4.2","","","","","","00:00:00.927","","","Connected! Sending HTTP request..."
"18","2025-01-01T00:01:13.937000","ESP","ESP32","2, 4.1, 4.2","","","","","","00:00:00.486","","","All data sent (134814 bytes), waiting for response..."
"19","2025-01-01T00:01:25.275000","ESP","ESP32","2, 4.1, 4.2","","","","","","00:00:11.338","","","{""status"":""success"",""timestamp"":""T+00:01:00.684"",""detected"":true,""prediction"":""none"",""confidence"":1.000,""image_size"":134814,""inference_time_ms"":8778}"
"20","2025-01-01T00:01:25.294000","ESP","ESP32","2, 4.1, 4.2","","","","","","00:00:00.019","","","Test image sent: /test/john_IMG_1887.jpg"
"21","2025-01-01T00:01:25.821000","ESP","ESP32","2, 4.1, 4.2","","","","","","00:00:00.527","","","Reproduciendo audio: /audio/unknown.wav"
"22","2025-01-01T00:01:25.862000","ESP","ESP32","2, 4.1, 4.2","","","","","","00:00:00.041","","","Testing image: /test/heon_IMG_1327.JPG (4/60)"
"23","2025-01-01T00:01:26.762000","ESP","ESP32","2, 4.1, 4.2","","","","","","00:00:00.900","","","Connected! Sending HTTP request..."
"24","2025-01-01T00:01:27.243000","ESP","ESP32","2, 4.1, 4.2","","","","","","00:00:00.481","","","All data sent (135561 bytes), waiting for response..."
"25","2025-01-01T00:01:38.842000","ESP","ESP32","2, 4.1, 4.2","","","","","","00:00:11.599","","","{""status"":""success"",""timestamp"":""T+00:01:14.233"",""detected"":true,""prediction"":""countdown_blank"",""confidence"":1.000,""image_size"":135561,""inference_time_ms"":9014}"
"26","2025-01-01T00:01:38.861000","ESP","ESP32","2, 4.1, 4.2","","","","","","00:00:00.019","","","Test image sent: /test/heon_IMG_1327.JPG"
"27","2025-01-01T00:01:39.397000","ESP","ESP32","2, 4.1, 4.2","","","","","","00:00:00.536","","","Testing image: /test/john_IMG_2502.jpg (5/60)"
"28","2025-01-01T00:01:40.289000","ESP","ESP32","2, 4.1, 4.2","","","","","","00:00:00.892","","","Connected! Sending HTTP request..."
"29","2025-01-01T00:01:40.751000","ESP","ESP32","2, 4.1, 4.2","","","","","","00:00:00.462","","","All data sent (134318 bytes), waiting for response..."
"30","2025-01-01T00:01:52.317000","ESP","ESP32","2, 4.1, 4.2","","","","","","00:00:11.566","","","{""status"":""success"",""timestamp"":""T+00:01:27.732"",""detected"":true,""prediction"":""red"",""confidence"":1.000,""image_size"":134318,""inference_time_ms"":8990}"
"31","2025-01-01T00:01:52.333000","ESP","ESP32","2, 4.1, 4.2","","","","","","00:00:00.016","","","Test image sent: /test/john_IMG_2502.jpg"
"32","2025-01-01T00:01:52.864000","ESP","ESP32","2, 4.1, 4.2","","","","","","00:00:00.531","","","Reproduciendo audio: /audio/stop.wav"
"33","2025-01-01T00:01:52.907000","ESP","ESP32","2, 4.1, 4.2","","","","","","00:00:00.043","","","Testing image: /test/john_IMG_2295.jpg (6/60)"
"34","2025-01-01T00:01:53.901000","ESP","ESP32","2, 4.1, 4.2","","","","","","00:00:00.994","","","Connected! Sending HTTP request..."
"35","2025-01-01T00:01:54.421000","ESP","ESP32","2, 4.1, 4.2","","","","","","00:00:00.520","","","All data sent (126559 bytes), waiting for response..."
"36","2025-01-01T00:02:05.750000","ESP","ESP32","2, 4.1, 4.2","","","","","","00:00:11.329","","","{""status"":""success"",""timestamp"":""T+00:01:41.157"",""detected"":true,""prediction"":""green"",""confidence"":1.000,""image_size"":126559,""inference_time_ms"":8804}"
"37","2025-01-01T00:02:05.766000","ESP","ESP32","2, 4.1, 4.2","","","","","","00:00:00.016","","","Test image sent: /test/john_IMG_2295.jpg"
"38","2025-01-01T00:02:06.296000","ESP","ESP32","2, 4.1, 4.2","","","","","","00:00:00.530","","","Reproduciendo audio: /audio/go.wav"
"39","2025-01-01T00:02:06.329000","ESP","ESP32","2, 4.1, 4.2","","","","","","00:00:00.033","","","Testing image: /test/heon_IMG_1328.JPG (7/60)"
"40","2025-01-01T00:02:07.219000","ESP","ESP32","2, 4.1, 4.2","","","","","","00:00:00.890","","","Connected! Sending HTTP request..."
"41","2025-01-01T00:02:07.570000","ESP","ESP32","2, 4.1, 4.2","","","","","","00:00:00.351","","","All data sent (103367 bytes), waiting for response..."
"42","2025-01-01T00:02:18.992000","ESP","ESP32","2, 4.1, 4.2","","","","","","00:00:11.422","","","{""status"":""success"",""timestamp"":""T+00:01:54.413"",""detected"":true,""prediction"":""none"",""confidence"":1.000,""image_size"":103367,""inference_time_ms"":8726}"
"43","2025-01-01T00:02:19.008000","ESP","ESP32","2, 4.1, 4.2","","","","","","00:00:00.016","","","Test image sent: /test/heon_IMG_1328.JPG"
"44","2025-01-01T00:02:19.538000","ESP","ESP32","2, 4.1, 4.2","","","","","","00:00:00.530","","","Reproduciendo audio: /audio/unknown.wav"
"45","2025-01-01T00:02:19.611000","ESP","ESP32","2, 4.1, 4.2","","","","","","00:00:00.073","","","Testing image: /test/heon_IMG_1418.JPG (8/60)"
"46","2025-01-01T00:02:20.420000","ESP","ESP32","2, 4.1, 4.2","","","","","","00:00:00.809","","","Connected! Sending HTTP request..."
"47","2025-01-01T00:02:20.729000","ESP","ESP32","2, 4.1, 4.2","","","","","","00:00:00.309","","","All data sent (84529 bytes), waiting for response..."
"48","2025-01-01T00:02:31.958000","ESP","ESP32","2, 4.1, 4.2","","","","","","00:00:11.229","","","{""status"":""success"",""timestamp"":""T+00:02:07.368"",""detected"":true,""prediction"":""none"",""confidence"":1.000,""image_size"":84529,""inference_time_ms"":8487}"
"49","2025-01-01T00:02:31.974000","ESP","ESP32","2, 4.1, 4.2","","","","","","00:00:00.016","","","Test image sent: /test/heon_IMG_1418.JPG"
"50","2025-01-01T00:02:32.504000","ESP","ESP32","2, 4.1, 4.2","","","","","","00:00:00.530","","","Reproduciendo audio: /audio/unknown.wav"
"51","2025-01-01T00:02:32.536000","ESP","ESP32","2, 4.1, 4.2","","","","","","00:00:00.032","","","Testing image: /test/john_IMG_2623.jpg (9/60)"
"52","2025-01-01T00:02:33.425000","ESP","ESP32","2, 4.1, 4.2","","","","","","00:00:00.889","","","Connected! Sending HTTP request..."
"53","2025-01-01T00:02:33.857000","ESP","ESP32","2, 4.1, 4.2","","","","","","00:00:00.432","","","All data sent (124175 bytes), waiting for response..."
"54","2025-01-01T00:02:45.177000","ESP","ESP32","2, 4.1, 4.2","","","","","","00:00:11.320","","","{""status"":""success"",""timestamp"":""T+00:02:20.596"",""detected"":true,""prediction"":""red"",""confidence"":1.000,""image_size"":124175,""inference_time_ms"":8716}"
"55","2025-01-01T00:02:45.193000","ESP","ESP32","2, 4.1, 4.2","","","","","","00:00:00.016","","","Test image sent: /test/john_IMG_2623.jpg"
"56","2025-01-01T00:02:45.723000","ESP","ESP32","2, 4.1, 4.2","","","","","","00:00:00.530","","","Reproduciendo audio: /audio/stop.wav"
"57","2025-01-01T00:02:45.826000","ESP","ESP32","2, 4.1, 4.2","","","","","","00:00:00.103","","","Testing image: /test/sam_IMG_1803.JPG (10/60)"
"58","2025-01-01T00:02:46.737000","ESP","ESP32","2, 4.1, 4.2","","","","","","00:00:00.911","","","Connected! Sending HTTP request..."
"59","2025-01-01T00:02:47.302000","ESP","ESP32","2, 4.1, 4.2","","","","","","00:00:00.565","","","All data sent (134587 bytes), waiting for response..."
"60","2025-01-01T00:02:58.817000","ESP","ESP32","2, 4.1, 4.2","","","","","","00:00:11.515","","","{""status"":""success"",""timestamp"":""T+00:02:34.237"",""detected"":true,""prediction"":""countdown_blank"",""confidence"":1.000,""image_size"":134587,""inference_time_ms"":9046}"
"61","2025-01-01T00:02:58.833000","ESP","ESP32","2, 4.1, 4.2","","","","","","00:00:00.016","","","Test image sent: /test/sam_IMG_1803.JPG"
"62","2025-01-01T00:02:59.372000","ESP","ESP32","2, 4.1, 4.2","","","","","","00:00:00.539","","","Testing image: /test/john_IMG_0684.jpg (11/60)"
"63","2025-01-01T00:03:00.254000","ESP","ESP32","2, 4.1, 4.2","","","","","","00:00:00.882","","","Connected! Sending HTTP request..."
"64","2025-01-01T00:03:00.619000","ESP","ESP32","2, 4.1, 4.2","","","","","","00:00:00.365","","","All data sent (98594 bytes), waiting for response..."
"65","2025-01-01T00:03:11.871000","ESP","ESP32","2, 4.1, 4.2","","","","","","00:00:11.252","","","{""status"":""success"",""timestamp"":""T+00:02:47.285"",""detected"":true,""prediction"":""countdown_blank"",""confidence"":1.000,""image_size"":98594,""inference_time_ms"":8571}"
"66","2025-01-01T00:03:11.887000","ESP","ESP32","2, 4.1, 4.2","","","","","","00:00:00.016","","","Test image sent: /test/john_IMG_0684.jpg"
"67","2025-01-01T00:03:12.445000","ESP","ESP32","2, 4.1, 4.2","","","","","","00:00:00.558","","","Testing image: /test/heon_IMG_1393.JPG (12/60)"
"68","2025-01-01T00:03:13.357000","ESP","ESP32","2, 4.1, 4.2","","","","","","00:00:00.912","","","Connected! Sending HTTP request..."
"69","2025-01-01T00:03:13.825000","ESP","ESP32","2, 4.1, 4.2","","","","","","00:00:00.468","","","All data sent (123661 bytes), waiting for response..."
"70","2025-01-01T00:03:25.306000","ESP","ESP32","2, 4.1, 4.2","","","","","","00:00:11.481","","","{""status"":""success"",""timestamp"":""T+00:03:00.720"",""detected"":true,""prediction"":""none"",""confidence"":1.000,""image_size"":123661,""inference_time_ms"":8900}"
"71","2025-01-01T00:03:25.322000","ESP","ESP32","2, 4.1, 4.2","","","","","","00:00:00.016","","","Test image sent: /test/heon_IMG_1393.JPG"
"72","2025-01-01T00:03:25.850000","ESP","ESP32","2, 4.1, 4.2","","","","","","00:00:00.528","","","Reproduciendo audio: /audio/unknown.wav"
"73","2025-01-01T00:03:25.882000","ESP","ESP32","2, 4.1, 4.2","","","","","","00:00:00.032","","","Testing image: /test/john_IMG_1511.jpg (13/60)"
"74","2025-01-01T00:03:26.881000","ESP","ESP32","2, 4.1, 4.2","","","","","","00:00:00.999","","","Connected! Sending HTTP request..."
"75","2025-01-01T00:03:27.411000","ESP","ESP32","2, 4.1, 4.2","","","","","","00:00:00.530","","","All data sent (144128 bytes), waiting for response..."
"76","2025-01-01T00:03:38.848000","ESP","ESP32","2, 4.1, 4.2","","","","","","00:00:11.437","","","{""status"":""success"",""timestamp"":""T+00:03:14.253"",""detected"":true,""prediction"":""countdown_blank"",""confidence"":1.000,""image_size"":144128,""inference_time_ms"":8915}"
"77","2025-01-01T00:03:38.865000","ESP","ESP32","2, 4.1, 4.2","","","","","","00:00:00.017","","","Test image sent: /test/john_IMG_1511.jpg"
"78","2025-01-01T00:03:39.479000","ESP","ESP32","2, 4.1, 4.2","","","","","","00:00:00.614","","","Testing image: /test/john_IMG_2313.jpg (14/60)"
"79","2025-01-01T00:03:40.392000","ESP","ESP32","2, 4.1, 4.2","","","","","","00:00:00.913","","","Connected! Sending HTTP request..."
"80","2025-01-01T00:03:40.862000","ESP","ESP32","2, 4.1, 4.2","","","","","","00:00:00.470","","","All data sent (133714 bytes), waiting for response..."
"81","2025-01-01T00:03:52.320000","ESP","ESP32","2, 4.1, 4.2","","","","","","00:00:11.458","","","{""status"":""success"",""timestamp"":""T+00:03:27.737"",""detected"":true,""prediction"":""green"",""confidence"":1.000,""image_size"":133714,""inference_time_ms"":8887}"
"82","2025-01-01T00:03:52.336000","ESP","ESP32","2, 4.1, 4.2","","","","","","00:00:00.016","","","Test image sent: /test/john_IMG_2313.jpg"
